Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,Source1,Source1,0.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' execution started.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Creating '1' object(s) of entity type 'DefaultEntity' using creation method 'NewObject'.
0,--,--,--,--,Object 'DefaultEntity.11' created.
0,DefaultEntity.11,DefaultEntity.11,1.OnCreated,[Begin],Process 'DefaultEntity.11.OnCreated' execution started.
0,DefaultEntity.11,DefaultEntity.11,1.OnCreated,[Assign] Assign1,Assigning state variable 'DefaultEntity.11.WhereAmI' the value 'On Created'.
0,DefaultEntity.11,DefaultEntity.11,1.OnCreated,[DataShareStep] DataShareStep1,Execute. Assoc. Object=DefaultEntity.11
0,DefaultEntity.11,DefaultEntity.11,1.OnCreated,[End],Process 'DefaultEntity.11.OnCreated' execution ended.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.11' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,0.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' execution started.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.11' ending transfer into station 'Source1.Processing'.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.11' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' execution started.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.11' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.11' transferring from '[Node] Output@Source1' onto link 'Path1'.
0,DefaultEntity.11,Path1,3.OnEntered,[Begin],Process 'Path1.OnEntered' execution started.
0,DefaultEntity.11,Path1,3.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'DefaultEntity.11.Movement.Rate' the value '5040' Meters per Hour.
0,DefaultEntity.11,Path1,3.OnEntered,[EndTransfer] OntoPath,Entity 'DefaultEntity.11' ending transfer onto link 'Path1'.
0,DefaultEntity.11,Path1,3.OnEntered,[End],Process 'Path1.OnEntered' execution ended.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[End],Process 'Source1.OnEnteredProcessing' execution ended.
0,DefaultEntity.11,Source1,4.OnExitedOutputBuffer,[Begin],Process 'Source1.OnExitedOutputBuffer' execution started.
0,DefaultEntity.11,Source1,4.OnExitedOutputBuffer,[Execute] Exited_AddOnProcess,Executing process 'Source1_Exited'.
0,DefaultEntity.11,Model,2.Source1_Exited,[Begin],Process 'Source1_Exited' execution started.
0,DefaultEntity.11,Model,2.Source1_Exited,[DataShareStep] DataShareStep1,Execute. Assoc. Object=DefaultEntity.11
0,DefaultEntity.11,Model,2.Source1_Exited,[End],Process 'Source1_Exited' execution ended.
0,DefaultEntity.11,Source1,4.OnExitedOutputBuffer,[End],Process 'Source1.OnExitedOutputBuffer' execution ended.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[End],Process 'Source1.OnEnteredOutputBuffer' execution ended.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[End],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
9.92063492063492E-05,DefaultEntity.11,Output@Source1,1.OnExited,[Begin],Process 'Output@Source1.OnExited' execution started.
9.92063492063492E-05,DefaultEntity.11,Output@Source1,1.OnExited,[Fire] ExitedEvent,Firing event 'Output@Source1.Exited'.
9.92063492063492E-05,DefaultEntity.11,Output@Source1,1.OnExited,[End],Process 'Output@Source1.OnExited' execution ended.
0.00108730158730159,DefaultEntity.11,Path1,1.OnReachedEnd,[Begin],Process 'Path1.OnReachedEnd' execution started.
0.00108730158730159,DefaultEntity.11,Path1,1.OnReachedEnd,[Transfer] FromPath,Entity 'DefaultEntity.11' transferring from '[EndOfLink] Path1' into node 'Input@Server1'.
0.00108730158730159,DefaultEntity.11,Input@Server1,0.OnEnteredToAssociatedObject,[Begin],Process 'Input@Server1.OnEnteredToAssociatedObject' execution started.
0.00108730158730159,DefaultEntity.11,Input@Server1,0.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@Server1.Entered'.
0.00108730158730159,DefaultEntity.11,Input@Server1,0.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.11' transferring from '[Node] Input@Server1' into object 'Server1'.
0.00108730158730159,DefaultEntity.11,Input@Server1,0.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.11' transferring from '[Node] Input@Server1' into station 'Server1.InputBuffer'.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Begin],Process 'Server1.OnEnteredInputBuffer' execution started.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Execute] Entered_AddOnProcess,Executing process 'Server1_Entered'.
0.00108730158730159,DefaultEntity.11,Model,2.Server1_Entered,[Begin],Process 'Server1_Entered' execution started.
0.00108730158730159,DefaultEntity.11,Model,2.Server1_Entered,[Assign] Assign1,Assigning state variable 'Model.ServerWhereAmI' the value 'Entered'.
0.00108730158730159,DefaultEntity.11,Model,2.Server1_Entered,[DataShareStep] DataShareStep1,Execute. Assoc. Object=DefaultEntity.11
0.00108730158730159,DefaultEntity.11,Model,2.Server1_Entered,[End],Process 'Server1_Entered' execution ended.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[EndTransfer] IntoInputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Server1.InputBuffer'.
0.00108730158730159,DefaultEntity.11,Input@Server1,2.OnExited,[Begin],Process 'Input@Server1.OnExited' execution started.
0.00108730158730159,DefaultEntity.11,Input@Server1,2.OnExited,[Fire] ExitedEvent,Firing event 'Input@Server1.Exited'.
0.00108730158730159,DefaultEntity.11,Input@Server1,2.OnExited,[End],Process 'Input@Server1.OnExited' execution ended.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Seize] Server,Object 'DefaultEntity.11' checking availability to seize '1' resource(s) of resource type '[ParentObject] Server1'.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Seize] Server,Object 'DefaultEntity.11' found '1' currently available resource(s) of resource type '[ParentObject] Server1'.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Seize] Server,Object 'DefaultEntity.11' seized '1' capacity unit(s) of resource 'Server1'.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Seize] Server,Object 'DefaultEntity.11' completed seize of '1' resource(s) of resource type '[ParentObject] Server1'.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[Transfer] ToProcessing,Entity 'DefaultEntity.11' transferring from '[Station] Server1.InputBuffer' into station 'Server1.Processing'.
0.00108730158730159,DefaultEntity.11,Path1,1.OnReachedEnd,[End],Process 'Path1.OnReachedEnd' execution ended.
0.00108730158730159,DefaultEntity.11,Input@Server1,0.OnEnteredToAssociatedObject,[End],Process 'Input@Server1.OnEnteredToAssociatedObject' execution ended.
0.00108730158730159,DefaultEntity.11,Server1,2.OnEnteredProcessing,[Begin],Process 'Server1.OnEnteredProcessing' execution started.
0.00108730158730159,DefaultEntity.11,Server1,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.11' ending transfer into station 'Server1.Processing'.
0.00108730158730159,DefaultEntity.11,Server1,2.OnEnteredProcessing,[Decide] IfProcessTypeSpecificTime,Token branching on condition 'ProcessType==Enum.TaskProcessType.SpecificTime'.
0.00108730158730159,DefaultEntity.11,Server1,2.OnEnteredProcessing,[Decide] IfProcessTypeSpecificTime,Token sent to 'True' exit.
0.00108730158730159,DefaultEntity.11,Server1,2.OnEnteredProcessing,[Delay] ProcessingTime,Delaying token for '0.00353746818799988' Hours until time '0.00462476977530147' Hours.
0.00108730158730159,DefaultEntity.11,Server1,4.OnEnteredInputBuffer,[End],Process 'Server1.OnEnteredInputBuffer' execution ended.
0.00462476977530147,DefaultEntity.11,Server1,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.11' transferring from '[Station] Server1.Processing' into station 'Server1.OutputBuffer'.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[Begin],Process 'Server1.OnEnteredOutputBuffer' execution started.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Server1.OutputBuffer'.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[Release] Server,Object 'DefaultEntity.11' attempting to release '1' resource(s) of resource type '[ParentObject] Server1'.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[Release] Server,Object 'DefaultEntity.11' released '1' capacity unit(s) of resource 'Server1'.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.11' transferring from '[Station] Server1.OutputBuffer' into node 'Output@Server1'.
0.00462476977530147,DefaultEntity.11,Output@Server1,0.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Server1.OnEnteredFromAssociatedObject' execution started.
0.00462476977530147,DefaultEntity.11,Output@Server1,0.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Server1.Entered'.
0.00462476977530147,DefaultEntity.11,Output@Server1,0.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.11' transferring from '[Node] Output@Server1' onto link 'Path2'.
0.00462476977530147,DefaultEntity.11,Path2,1.OnEntered,[Begin],Process 'Path2.OnEntered' execution started.
0.00462476977530147,DefaultEntity.11,Path2,1.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'DefaultEntity.11.Movement.Rate' the value '5040' Meters per Hour.
0.00462476977530147,DefaultEntity.11,Path2,1.OnEntered,[EndTransfer] OntoPath,Entity 'DefaultEntity.11' ending transfer onto link 'Path2'.
0.00462476977530147,DefaultEntity.11,Path2,1.OnEntered,[End],Process 'Path2.OnEntered' execution ended.
0.00462476977530147,DefaultEntity.11,Server1,2.OnEnteredProcessing,[End],Process 'Server1.OnEnteredProcessing' execution ended.
0.00462476977530147,DefaultEntity.11,Server1,4.OnEnteredOutputBuffer,[End],Process 'Server1.OnEnteredOutputBuffer' execution ended.
0.00462476977530147,DefaultEntity.11,Output@Server1,0.OnEnteredFromAssociatedObject,[End],Process 'Output@Server1.OnEnteredFromAssociatedObject' execution ended.
0.00472397612450781,DefaultEntity.11,Output@Server1,0.OnExited,[Begin],Process 'Output@Server1.OnExited' execution started.
0.00472397612450781,DefaultEntity.11,Output@Server1,0.OnExited,[Fire] ExitedEvent,Firing event 'Output@Server1.Exited'.
0.00472397612450781,DefaultEntity.11,Output@Server1,0.OnExited,[End],Process 'Output@Server1.OnExited' execution ended.
0.00592635707688877,DefaultEntity.11,Path2,0.OnReachedEnd,[Begin],Process 'Path2.OnReachedEnd' execution started.
0.00592635707688877,DefaultEntity.11,Path2,0.OnReachedEnd,[Transfer] FromPath,Entity 'DefaultEntity.11' transferring from '[EndOfLink] Path2' into node 'Input@Sink1'.
0.00592635707688877,DefaultEntity.11,Input@Sink1,4.OnEnteredToAssociatedObject,[Begin],Process 'Input@Sink1.OnEnteredToAssociatedObject' execution started.
0.00592635707688877,DefaultEntity.11,Input@Sink1,4.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@Sink1.Entered'.
0.00592635707688877,DefaultEntity.11,Input@Sink1,4.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.11' transferring from '[Node] Input@Sink1' into object 'Sink1'.
0.00592635707688877,DefaultEntity.11,Input@Sink1,4.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.11' transferring from '[Node] Input@Sink1' into station 'Sink1.InputBuffer'.
0.00592635707688877,DefaultEntity.11,Sink1,2.OnEnteredInputBuffer,[Begin],Process 'Sink1.OnEnteredInputBuffer' execution started.
0.00592635707688877,DefaultEntity.11,Sink1,2.OnEnteredInputBuffer,[EndTransfer] IntoInputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Sink1.InputBuffer'.
0.00592635707688877,DefaultEntity.11,Input@Sink1,1.OnExited,[Begin],Process 'Input@Sink1.OnExited' execution started.
